id,title,description,link,image_link,price,availability,condition,brand,google_product_category
1,Budget + Finance Hub,"Track income, expenses, savings goals, and subscriptions all in one aesthetic Notion workspace.",https://universalnotion.gumroad.com/l/coxpw,https://theuniversalnotion.com/covers/01-budget-finance-hub.png,4.99 USD,in stock,new,The Universal Notion,784
2,Second Brain,"Capture ideas, notes, projects, and resources in one organized Notion knowledge hub.",https://universalnotion.gumroad.com/l/ijqbc,https://theuniversalnotion.com/covers/02-second-brain.png,4.99 USD,in stock,new,The Universal Notion,784
3,Romanticize Your Life Journal,"A beautiful daily Notion journal to help you slow down, reflect, and find joy in the everyday.",https://universalnotion.gumroad.com/l/phlsor,https://theuniversalnotion.com/covers/03-romanticize-journal.png,4.99 USD,in stock,new,The Universal Notion,784
4,Health + Medical Tracker,"Log appointments, medications, symptoms, and health goals in one clear Notion dashboard.",https://universalnotion.gumroad.com/l/sagwrd,https://theuniversalnotion.com/covers/04-health-medical-tracker.png,4.99 USD,in stock,new,The Universal Notion,784
5,Content Creation Hub,"Plan, draft, and schedule content across all your platforms from one aesthetic Notion command center.",https://universalnotion.gumroad.com/l/ofnhi,https://theuniversalnotion.com/covers/05-content-creation-hub.png,4.99 USD,in stock,new,The Universal Notion,784
6,Client + Admin Hub,"Manage clients, projects, invoices, and admin tasks without the chaos — all in Notion.",https://universalnotion.gumroad.com/l/nmvuey,https://theuniversalnotion.com/covers/06-client-admin-hub.png,4.99 USD,in stock,new,The Universal Notion,784
7,Universal Reading Log,"Track every book you've read, want to read, and are reading — with ratings and notes in Notion.",https://universalnotion.gumroad.com/l/erzgsu,https://theuniversalnotion.com/covers/07-universal-reading-log.png,4.99 USD,in stock,new,The Universal Notion,784
8,The Bread Board,"Your aesthetic Notion recipe board — save, organize, and plan meals all in one place.",https://universalnotion.gumroad.com/l/cphel,https://theuniversalnotion.com/covers/08-bread-board.png,4.99 USD,in stock,new,The Universal Notion,784
10,Group Hug,"Track plans, memories, and everything in between with your favourite people — all in one shared Notion space.",https://universalnotion.gumroad.com/l/jisidl,https://theuniversalnotion.com/covers/10-group-hug.png,4.99 USD,in stock,new,The Universal Notion,784
9,Appliance Tracker,"Log your home appliances, warranties, maintenance schedules, and purchase info in one Notion workspace.",https://universalnotion.gumroad.com/l/uszrz,https://theuniversalnotion.com/covers/09-appliance-tracker.png,4.99 USD,in stock,new,The Universal Notion,784
